gene_id	midas_1EE_S42_Xp_blk	midas_1EM_S18_Xp_blk	midas_1XE_S43_Xp_blk	midas_1XM_S19_Xp_blk	midas_2EE_S44_Xp_blk	midas_2EM_S20_Xp_blk	midas_2XE_S45_Xp_blk	midas_2XM_S21_Xp_blk	midas_3EE_S46_Xp_blk	midas_3EM_S22_Xp_blk	midas_3XE_S47_Xp_blk	midas_3XM_S23_Xp_blk	midas_4EE_S48_Xp_blk	midas_4EM_S24_Xp_blk	midas_4XE_S49_Xp_blk	midas_4XM_S25_Xp_blk	midas_5EE_S50_Xp_blk	midas_5EM_S26_Xp_blk	midas_5XE_S51_Xp_blk	midas_5XM_S27_Xp_blk	midas_6EE_S52_Xp_blk	midas_6EM_S28_Xp_blk	midas_6XE_S53_Xp_blk	midas_6XM_S29_Xp_blk
SUPERPANG_01451	30475	17659	6214	106	26153	16673	3542	1101	35740	17081	16641	68	21728	17292	12478	117	24604	12759	9563	829	31779	19666	411	203
SUPERPANG_01452	4647	3256	997	35	4420	3366	665	208	4926	2902	3262	13	3543	2967	2218	19	3904	2151	1481	158	5100	3309	88	36
SUPERPANG_01453	3633	2666	749	8	3879	2611	529	167	3794	2508	2373	5	2871	2534	1838	5	3178	1857	1062	122	3921	2837	47	33
SUPERPANG_01454	16950	12297	4193	69	17369	12276	2234	768	16788	11412	11187	62	12782	11856	8798	91	14218	8602	4439	570	17422	13678	251	157
SUPERPANG_01455	10974	6916	2227	27	10353	6481	1356	441	11361	6582	6330	36	7699	6736	4638	53	9294	5028	2482	300	10685	7918	120	77
SUPERPANG_01456	9097	5726	1857	18	8295	5379	1077	381	9612	5599	5524	13	6803	5552	3837	63	7580	4007	2534	279	9010	6487	89	57
SUPERPANG_01457	4547	2750	939	17	3979	2399	549	184	5070	2545	2643	13	3331	2587	1844	20	4030	2019	1512	149	4290	2979	60	25
SUPERPANG_01458	15951	9836	3366	24	14136	9321	1936	616	15261	9300	9648	31	11574	9564	6822	72	13825	6969	4349	476	14197	10789	225	84
SUPERPANG_01459	18962	13221	4085	78	17645	12415	2475	956	16974	12228	11496	55	14283	12681	8964	109	17144	8710	5504	565	16042	13805	267	117
SUPERPANG_01460	3384	3530	903	20	4199	3534	540	320	3461	3263	1748	8	3164	3456	2528	23	3683	2301	1298	135	3444	3417	45	31
SUPERPANG_01461	123	275	68	94	204	257	56	196	199	253	107	90	169	206	193	85	241	139	70	46	237	152	22	49
SUPERPANG_01462	31	53	5	0	52	62	12	3	32	41	18	0	29	39	41	0	65	19	18	2	49	24	4	2
SUPERPANG_01464	442	937	98	8	612	898	23	88	611	769	152	2	514	853	575	3	586	509	19	1	647	440	6	7
SUPERPANG_01465	2637	7891	617	13	3366	7715	201	710	4640	6426	909	47	3608	6547	4206	55	3709	4280	107	12	5289	3197	58	108
SUPERPANG_01466	334	1330	104	6	463	1254	14	94	605	1061	105	7	590	932	662	10	456	702	18	0	835	518	8	16
